aux;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
-31-69;11,09;9,50;7,83;3,02;-0,23;-2,36;-3,47;-2,64;-1,09;2,73;5,95;9,52
-31-68;15,07;13,45;11,38;6,30;2,47;-0,33;-1,38;0,05;2,28;6,56;10,22;13,73
-31-67;13,46;11,90;9,93;5,33;2,00;-0,72;-1,89;-0,41;1,96;5,98;9,34;12,54
-31-66;13,99;12,40;10,57;6,06;2,69;-0,32;-1,36;0,40;2,71;6,78;10,10;13,04
-32-76;15,92;16,57;16,22;15,18;14,02;12,79;11,62;11,26;11,34;11,99;13,00;14,49
-32-75;15,66;16,28;15,86;14,77;13,63;12,37;11,33;10,96;11,17;11,83;12,77;14,28
-32-74;15,50;16,05;15,57;14,35;13,25;12,03;11,06;10,74;11,07;11,71;12,65;14,03
-32-73;15,34;15,83;15,35;14,07;12,99;11,77;10,79;10,56;10,96;11,62;12,51;13,88
-32-72;14,58;15,00;14,41;12,98;11,77;10,55;9,82;9,62;10,15;11,00;11,86;13,27
-32-71;11,69;11,86;10,67;7,94;5,93;3,41;2,41;2,94;3,56;5,22;7,09;9,88
-32-70;-4,39;-4,66;-5,32;-8,48;-14,32;-19,35;-20,65;-18,97;-15,93;-11,36;-7,70;-5,41
-32-69;11,71;10,17;8,59;4,23;0,83;-1,31;-2,39;-1,54;-0,06;3,75;6,68;10,24
-32-68;14,76;13,20;11,12;6,13;2,32;-0,44;-1,64;-0,31;2,30;6,49;10,07;13,49
-32-67;14,93;13,18;11,10;6,37;3,02;0,28;-1,03;0,78;2,98;7,19;10,54;13,71
-32-66;14,18;12,61;10,59;5,96;2,54;-0,25;-1,32;0,47;2,88;6,88;10,05;13,23
-33-76;15,62;16,31;15,87;14,80;13,55;12,26;11,15;10,78;10,91;11,59;12,63;14,18
-33-75;15,32;15,94;15,45;14,31;13,14;11,87;10,97;10,51;10,69;11,48;12,54;13,97
-33-74;15,19;15,68;15,05;13,87;12,73;11,67;10,69;10,30;10,71;11,48;12,38;13,77
-33-73;15,05;15,46;14,80;13,52;12,48;11,40;10,48;10,14;10,66;11,37;12,27;13,59
-33-72;13,95;14,21;13,57;11,92;10,52;9,09;8,34;8,19;9,06;9,99;11,03;12,57
-33-71;10,60;10,80;9,74;7,41;5,56;3,27;2,29;2,58;3,37;4,80;6,59;8,92
-33-70;-6,14;-6,27;-7,19;-11,04;-16,18;-20,84;-22,42;-20,91;-18,19;-14,35;-10,39;-7,46
-33-69;12,13;10,94;8,86;4,31;0,96;-1,45;-2,29;-1,39;0,51;4,29;7,45;10,84
-33-68;13,69;12,22;10,00;5,32;1,66;-1,14;-2,14;-0,81;1,44;5,44;8,82;12,41
-33-67;13,11;11,75;9,68;5,15;2,04;-0,32;-1,73;-0,16;1,79;5,75;8,57;11,98
-33-66;9,50;8,04;6,48;2,18;-0,61;-2,73;-3,73;-2,77;-1,26;2,55;5,20;8,30
-34-76;15,36;15,94;15,52;14,37;13,03;11,68;10,65;10,30;10,45;11,24;12,27;13,84
-34-75;15,05;15,60;14,97;13,78;12,71;11,39;10,55;10,13;10,28;11,12;12,21;13,64
-34-74;14,80;15,16;14,53;13,36;12,32;11,16;10,28;9,97;10,33;11,13;12,10;13,45
